วันที่,ชื่อพนักงาน,จำนวนสถานที่ทำงาน,อาคาร,"Ticket ID",สาเหตุหลัก,สาเหตุย่อย,เวลาเดินทางไปทั้งหมด,เวลารอทั้งหมด,เวลาทำงานทั้งหมด,เวลาเดินทางกลับทั้งหมด,รวมเวลาที่ใช้ไปทั้งหมด,จำนวนกิโลในการเดินทาง,ค่าน้ำมันที่เกิดจากการคำนวณ,ค่าทางด่วนทั้งหมด,ค่าอื่นๆ,รวมค่าใช้จ่ายทั้งหมด
"2013-01-28 16:15:00",arnold,1,BaanWongsiri,144523,ระบบไฟ,ปลั๊กรางเสีย,00:00:00,00:00:00,01:00:00,00:00:00,01:00:00,0.00,0.00,0.00,0.00,0.00
"2013-01-28 15:40:00",aumjung,1,Pithaksup,144501,คู่สายภายใน,คู่สายภายในมีปัญหาต้องเดินใหม่,00:46:55,00:00:00,00:49:00,00:32:57,02:08:52,25.30,126.50,0.00,0.00,126.50
"2013-01-28 14:30:00",aumjung,1,"Green House",144432,คู่สายภายนอก,"Internet ไม่มีสัญญาณ",00:00:00,00:00:00,00:19:00,00:00:00,00:19:00,0.00,0.00,0.00,0.00,0.00
"2013-01-28 14:30:00",arnold,1,"Sutida Mansion",144499,"Server Software","Server Software เสียแก้ไขได้",00:00:00,00:00:00,00:40:00,00:00:00,00:40:00,0.00,0.00,0.00,0.00,0.00
"2013-01-28 14:15:00",aumjung,1,"Green House",144509,ระบบไฟ,สายหลุด,00:19:41,00:00:00,00:34:00,00:00:00,00:53:41,11.20,56.00,0.00,0.00,56.00
"2013-01-28 13:45:00",aumjung,1,BaanWiliya,144490,"Server Hardware","Server เปิดติดใช้งานไม่ได้",00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.00,0.00,0.00,0.00,0.00
"2013-01-28 13:00:00",aumjung,1,"PB Mansion",144465,"Server Software","Server Software เสียแก้ไขได้",00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.00,0.00,0.00,0.00,0.00
"2013-01-27 15:00:00",arnold,1,"Viriya Mansion",144528,Router,อื่นๆ,00:00:00,00:00:00,01:27:00,00:00:00,01:27:00,0.00,0.00,0.00,0.00,0.00
"2013-01-27 12:30:00",arnold,1,TheNarathiwas,144505,สัญญาณต่ำ,อื่นๆ,00:00:00,00:00:00,00:20:00,00:00:00,00:20:00,0.00,0.00,0.00,0.00,0.00
"2013-01-27 11:45:00",arnold,1,"Nonsi Residence",144524,AP,"AP ค้างบ่อย",00:00:00,00:00:00,00:17:00,00:00:00,00:17:00,0.00,0.00,0.00,0.00,0.00
"2013-01-27 10:30:00",arnold,1,"Mai Mansion",144519,คู่สายภายนอก,"Internet ไม่มีสัญญาณ",00:00:00,00:00:00,00:22:00,00:00:00,00:22:00,0.00,0.00,0.00,0.00,0.00
"2013-01-27 09:00:00",arnold,1,"Baan Sukumwit 81 Mansion Building N",144487,"Server Hardware",อื่นๆ,00:00:00,00:00:00,00:35:00,00:00:00,00:35:00,0.00,0.00,0.00,0.00,0.00
"2013-01-26 16:30:00",arnold,1,SmartZone,144508,"Server Hardware","Server เปิดติดใช้งานไม่ได้",00:00:00,00:00:00,00:31:00,00:00:00,00:31:00,0.00,0.00,0.00,0.00,0.00
"2013-01-26 11:45:00",arnold,1,"Lux Mansion",144510,คู่สายภายนอก,อื่นๆ,00:00:00,00:00:00,05:13:00,00:00:00,05:13:00,0.00,0.00,0.00,0.00,0.00
"2013-01-23 21:30:00",arnold,1,"The Hideaway Resort Hua Hin",143915,คู่สายภายนอก,อื่นๆ,00:00:00,00:00:00,00:56:00,00:00:00,00:56:00,0.00,0.00,0.00,0.00,0.00
"2013-01-23 21:30:00",arnold,1,"The Hideaway Resort Hua Hin",143928,AP,อื่นๆ,00:00:00,00:00:00,00:41:00,00:00:00,00:41:00,0.00,0.00,0.00,0.00,0.00
"2013-01-23 16:30:00",golf,1,"Marigold Boutique Apartment AB",144470,ระบบไฟ,ปลั๊กหลวม,00:00:00,00:00:00,00:18:00,00:00:00,00:18:00,0.00,0.00,0.00,0.00,0.00
"2013-01-23 14:30:00",arnold,1,"Prachachuen Residence",144464,AP,"AP เสียไฟไม่ติด",00:00:00,00:00:00,01:58:00,00:00:00,01:58:00,0.00,0.00,0.00,0.00,0.00
"2013-01-23 13:55:00",golf,1,"Zoom Place",144441,"Server Software",อื่นๆ,00:00:00,00:00:00,01:01:00,00:00:00,01:01:00,0.00,0.00,0.00,0.00,0.00
"2013-01-23 09:55:00",golf,1,NumberOneZone4,144454,ระบบไฟ,"UPS เสีย",00:00:00,00:00:00,00:50:00,00:00:00,00:50:00,0.00,0.00,0.00,0.00,0.00
"2013-01-22 20:46:00",golf,1,"Marigold Boutique Apartment AB",144470,Switch,"Switch ค้างบ่อย",00:00:00,00:00:00,00:16:00,00:00:00,00:16:00,0.00,0.00,0.00,0.00,0.00
"2013-01-22 16:26:00",golf,1,"Salin Place",144412,"Server Hardware","Power Supply เสีย",00:00:00,00:00:00,00:40:00,00:00:00,00:40:00,0.00,0.00,0.00,0.00,0.00
"2013-01-22 14:50:00",golf,1,"JPS Mansion 3",144421,AP,อื่นๆ,00:00:00,00:00:00,00:26:00,00:00:00,00:26:00,0.00,0.00,0.00,0.00,0.00
"2013-01-22 14:20:00",arnold,1,"Thonburi Sport Club",144451,ระบบไฟ,อื่นๆ,00:00:00,00:00:00,00:57:00,00:00:00,00:57:00,0.00,0.00,0.00,0.00,0.00
"2013-01-22 14:00:00",toktak,1,"Bundit Apartment",143857,ติดตั้ง,เฉพาะส่วน,04:58:20,00:00:00,04:15:00,17:01:55,26:15:15,61.00,305.00,0.00,0.00,305.00
